polaris_time,unix_time,tool_id,q0,q1,q2,q3,tx,ty,tz,tx_tip,ty_tip,tz_tip,reg_err,capture_note
61.3333,1749443660.21,A,+0.0769,-0.0420,-0.1833,+0.9791,-45.06,+120.44,-1862.73,+258.6736,+66.2966,-1854.3264,+0.3285,
76.3833,1749443675.26,A,+0.0365,-0.0511,-0.1243,+0.9902,-58.88,+80.42,-1938.09,+247.5899,+50.2736,-1917.5076,+0.2900,
89.4333,1749443688.31,A,+0.1396,+0.0397,-0.0986,-0.9844,-44.65,-96.31,-1916.74,+253.0948,-15.6987,-1906.4415,+0.3737,
100.4833,1749443699.36,A,+0.1862,+0.0599,-0.1061,-0.9749,-22.68,-112.78,-1860.29,+265.2703,-3.2764,-1841.5869,+0.2521,
